nyelv;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;összes;sikertelen;
angol;116;441;709;620;656;445;471;480;695;554;728;174;23,9010989
arab;767;543;510;455;192;272;717;558;362;581;933;352;37,72775991
bolgár;497;647;223;19;277;82;74;545;743;399;628;229;36,46496815
cseh;527;18;323;205;403;521;164;23;248;12;300;288;96
dán;571;361;451;192;297;135;753;31;12;100;119;19;15,96638655
finn;534;263;483;129;761;46;683;649;531;605;764;159;20,81151832
francia;743;269;496;126;516;624;519;127;378;484;824;340;41,26213592
görög;696;50;31;459;724;358;70;536;663;700;982;282;28,71690428
héber;646;218;54;611;370;494;553;16;478;124;184;60;32,60869565
hindi;599;427;157;373;743;206;62;601;675;220;268;48;17,91044776
horvát;725;378;292;3;144;543;286;600;74;784;876;92;10,50228311
ír;367;623;52;117;677;221;156;353;270;388;653;265;40,58192956
japán;608;591;725;458;229;781;35;644;14;568;652;84;12,88343558
latin;272;164;160;205;128;165;758;152;452;317;329;12;3,647416413
lengyel;454;528;148;125;76;3;588;60;472;750;819;69;8,424908425
mandarin;124;75;608;101;520;198;471;489;431;209;304;95;31,25
német;485;431;221;171;507;731;560;175;547;445;784;339;43,23979592
olasz;135;698;700;593;712;314;254;783;93;472;539;67;12,43042672
orosz;396;131;33;238;159;652;15;241;278;689;980;291;29,69387755
örmény;47;567;173;528;770;381;666;271;746;310;551;241;43,73865699
portugál;182;703;597;658;636;425;359;123;147;53;345;292;84,63768116
román;0;0;1;0;0;0;0;0;0;2;2;0;0
spanyol;180;678;616;701;602;613;496;314;781;84;124;40;32,25806452
svéd;667;110;12;162;649;664;762;361;458;79;137;58;42,33576642
szerb;733;729;459;64;428;554;144;271;673;475;557;82;14,72172352
szuahéli;0;0;0;0;0;1;0;0;0;7;7;0;0
thai;516;254;581;503;84;173;612;631;248;327;450;123;27,33333333
török;281;629;634;366;647;779;221;592;708;149;238;89;37,39495798
ukrán;629;520;316;422;75;667;440;505;540;94;396;302;76,26262626
